55,99755
158,99747
175,99728
169,99720
33,99681
457,99523
361,99523
436,99523
281,98901
264,98391
50,98382
53,98355
13,98267
24,98267
159,97906
113,96391
20,96391
115,96391
74,96391
11,96391
333,96368
287,94525
324,93641
448,93641
65,90567
173,90559
153,90537
67,90196
332,90100
353,86619
364,86619
404,86619
401,86619
386,86619
325,86619
152,86465
296,86281
351,86116
10,85700
5,85668
345,85322
454,85286
423,83415
46,78247
229,78231
395,77648
148,77458
51,77443
431,77168
124,77168
455,77168
415,76682
354,76682
400,76682
468,76682
417,76682
452,76682
412,75107
422,67808
398,62951
392,62675
262,60396
266,59180
335,58270
341,58270
216,53686
184,53389
108,49985
107,49985
150,49155
162,49153
193,48889
440,48889
251,48889
396,46834
363,46791
447,46787
172,45564
263,42196
286,42196
217,42196
253,42185
411,40915
453,40915
201,40915
268,40625
402,29455
3,25433
8,25431
21,24681
15,23017
35,22717
23,22220
25,22030
36,21555
28,18961
22,16257
12,15512
207,14675
43,14668
19,14653
17,14642
57,14638
14,14638
26,14638
39,14638
41,14638
37,14638
29,14638
40,14638
38,14631
52,14124
60,14124
359,8073
424,8072
228,8072
336,8072
289,8072
311,8071
105,8071
442,8063
191,8061
192,8061
